wordFrench,wordEnglish,wordPortuguese
Ne s'est pas vu,Hasn't been seen,Não foi visto
Poser une question,Make a question,Fazer uma pergunta
Dimanche,Sunday,Domingo
Oublier,Forget,Esquecer
Quelqu'un,Someone,Alguém
Tels que,Such that,Tais que
Répandre,Spread,Espalhar
Nuit,Early morning,Madrugada
Compter,Count,Contar
Réveiller,Wake up,Despertar
Rien,Nothing,Nada
Après/Puis,After,Depois
Capable,Capable,Capaz
Grossier,Thick,Grosso
Question,Question,Pergunta
Dernier,Last,Último
Devoir,Duty,Dever
Étudier,Study,Estudar
Quand,When,Quando
Certains,Certain,Alguns
Soeur,Sister,Irmã
Encore merci,Thanks again,Obrigado novamente
Environ,Around,Aproximadamente
Même,Same,Mesmo
Frère,Brother,Irmão
Timide,Shy,Tímido
Soustraire,Subtract,Subtrair
Pleut,Rain,Chuva
Onglet,Tab,Guia
Septembre,September,Setembro
Oreiller,Pillow,Travesseiro
De rien,You are welcome,De nada
Fâché,Angry,Nervoso
Pessimiste,Pessimist,Pessimista
Droit,Right,Certo/Direita
Boulevard,Avenue,Avenida
Montrer,Show,Mostrar
Lequel,Which,Qual
Acheter,Buy,Comprar
Professeur,Professor,Professor
Exposer,Expose,Expor
Confirmer,Confirm,Confirmar
Vendredi,Friday,Sexta-feira
Connaître,Know,Conhecer
Pouvoir,Be able to,Poder/Ser Capaz
Prix,Price,Preço
Beaucoup,Much,Bastante
Te fais confiance,Trust you,Ter confiança em
Juillet,July,Julho
Être,Be,Ser
Encore plus,More yet,Ainda mais
Jour,Day,Dia
Ouvrir,Open,Abrir
Venir,Come,Vir
Commodes,Shelf,Cômoda
Étagére,Shelf,Prateleira
Événement,Event,Evento
Lune,Moon,Lua
Pourquoi,Why,Por que/Para que
Aider,Aid/Help,Ajudar
Pourtant,Yet,Contudo
Retrouver,Find/Retrieve,Encontrar
Pas de problème,No problem,Sem problema
Plutôt,Instead of,Em vez de
Pendant que,While,Enquanto
Au fond de,At the end of,No fundo de
Télévision,Television,Televisão
Général,Generally,Geralmente
Fenêtre,Window,Janela
Avis,Notice,Perceber
Chercher,Look for,Procurar
Envoyer,Send,Enviar
Décrire,Describe,Descrever
Modeler,Model,Modelar
Miroir,Mirror,Espelho
Donc,So,Então
Argent,Money,Dinheiro
Dégager,Clean,Limpar
Naître,Being born,Nascer
Memoire,Memory,Memória
Froid,Cold,Frio
Bavarde,Talker,Falante/Tagarela
A peu près/Plus au moins,More or less,Mais ou menos
Ouvert,To open,Abrir
Comment,How,Como
Multiplier,Multiply,Multiplicar
Placard,Closet,Armário
Bien,Good,Bem
Coussin,Cushion,Almofada
Réussir,Sucess,Sucesso
Savoir,Know,Saber
Falloir,Have to,Ter de
Nouveau,New,Novo
Nièce,Nièce,Sobrinha
Aimer,Like,Gostar
Derrière,Behind,Atrás
Voilá,That's it,É isso
Janvier,January,Janeiro
Appeler,Call,Chamar
Pour,For,Para
Four,Oven,Forno
Soleil,Sun,Sol
Rideau,Drape,Cortina
Hier,Yesterday,Ontem
Chambre,Chaimbers/Bedroom,Quarto
Partager,Share,Compartilhar
Frigo,Fridge,Geladeira
Âge,Age,Idade
Par contre,Actually,No entanto
Côte,Side,Lado
Photo,Photo,Foto
Penser,Think,Pensar
Mars,March,Março
Obéir,Obey,Obedecer
Je vous en prie,Please,Por favor
Balle,Ball,Bola
Agencée,Aranged,Arranjado/Disposto
Loin,Far,Longe
Structure,Structure,Estrutura
Sortir,Hang out,Sair
Sur,About/Above,Sobre
On commence,We started,Começamos
Conception,Project,Projetar
Qui,Who,Quem
Optimiste,Optimist,Otimista
Donner,Give/Donate,Dar/Doar
Four micro-ondas,Microwave,Micro-ondas
Charette,Small car,Carrinho
On y va,Here we go,Aqui vamos nós
Autre,Other,Outro
Enregistrer,Record,Gravar
Neveu,Nephew,Sobrinho
Rencontrer,Find,Encontrar
Avoir,Have,Ter
Baignoire,Bathtub,Banheira
Rêveuse,Dreamer,Sonhador
Jusqu'a,Untill,Até
Tenir,Maintain,Manter
Devenir,Become,Tornar
Lundi,Monday,Segunda-feira
Asseoir,Sit,Sentar
Weekend,Weekend,Fim de semana
D'abord,Firstly,Primeiramente
Drôle,Funny,Engraçado
Constant,Constant,Constante
Proche,Next to,Próximo
Chaque,Each,Cada
Jeudi,Thursday,Quinta-feira
Quotidienne,Daily,Cotidiano
Faire,Do,Fazer
En soi,In itself,Em si
Nourriture,Food,Comida
Changer,Change,Mudar
Remplacer,Replace,Substituir
Similaire,Similar,Parecido
Avoir besoin de,Need,Precisar de
Merci,Thanks,Obrigado
Cuisine,Kitchen,Cozinha
Maison,House,Casa
Chanter,Sing,Cantar
Tapis,Carpet,Tapete
Cueillir,Spoon,Colher
Démarrer,Initiate,Iniciar
Dérouler,Unroll,Desenrolar
Découvrir,Discover,Descobrir
Voir,See,Ver
Mot,Word,Palavra
Ordinateur,Computer,Computador
Sous,Beneath,Abaixo
Venir,Come,Vir
Rond,Round,Redondo
Abonner,Sign,Assinar
Effacer,Erase,Apagar
Mai,May,Maio
Laisse tomber,Forget about it,Deixa pra lá
Tante,Aunt,Tia
Vouloir,Want,Querer
Terre,Earth,Terra
Avenir,Future,Futuro
Près,Near,Perto
Évalué,Evaluated,Avaliado
Chaise,Chair,Cadeira
Sentir,Feel,Sentir
Danser,Dance,Dançar
Trotoir,Sidewalk,Calçada
Pas de soucis,No problem,Sem problema
Courir,Run,Correr
Quartier,Neighborhood,Bairro
Diviser,Divide,Dividir
Mercredi,Wednesday,Quarta-feira
Tout,All,Tudo
Parler,Speak,Falar
Ça y est,That's it,É isso
Air,Air,Ar
Phrase,Phrase,Frase
Table(Latin),Table,Mesa
Acquérir,Acquire,Adquirir
Rechercher,Research,Pesquisar
Après midi,Mid day,Meio dia
Combien,How much/How many,Quanto
Tiroir,Drawer,Gaveta
Comprendre,Understand,Compreender/Entender
Depuis,Since,Desde
Rester,Rest,Permanecer
Il faut,Must,Deve
Samedi,Saturday,Sábado
Devant,In front of,Em frente de
Différent,Different,Diferente
Toujors,Always,Sempre
Gauche,Left,Esquerda
Mince,Slim,Magro
Quoi de neuf,What are the news,Quais as novas
Votre avis,Your opinion,Sua opinião
Appuyer,Press,Apoiar/Pressionar
Apprendre,Learn,Aprender
Gros,Fat,Gordo
Avant,Before,Antes
Dehors,Outside,Fora
S'Il vous plaît,Please,Por favor
Selon,Acording to,De acordo com
Sembler,Resemble,Parecer
Voyage,Trip,Viagem
Bureau(Français),Table,Mesa
Canapé,Sofa,Sofá
Reproche,Reproval,Reprovação
Tourner,Turn,Vez
Grand-mère,Grandmother,Vó
Grand-père,Grandfather,Vô
Travailler,Work,Trabalhar
Trop,(Too) much,Demais
Tour,Turn,Volta
Sommeil,Sleepy,Sono
Amour,Love,Amor
Cousin,Cousin,Primo
Lampe,Lamp,Lâmpada
Entretien,Interview,Entrevista
Recevoir,Receive,Receber
Sauter,Jump,Saltar
Marcher,Walk,Andar
Standard,Standard,Padrão
Boire,Drink,Beber
Est-ce que tu peux,Could you,Poderia
Exprimer,Express,Expressar
Rêver,Dream,Sonhar
Durée,Duration,Duration
Fille,Daughter,Filha
Fils,Son,Filho
Que/Quoi,What,Que
Apaiser,Calm down,Acalmar
Jamais,Never,Jamais/Nunca
Aussi,Also,Também
Entre,Between,Entre
Vendre,Sell,Vender
Repérez,Notice,Reparar
Au revoir,Goodbye,Tchau
Oncle,Uncle,Tio
Bas-là,There,Ali
Continuer,Continue,Continuar
Horlage,Clock,Relógio
Tableau,Painting,Pintura
Août,August,Agosto
Regarder,Look,Olhar
Ajouter,Add,Acrescentar
Répéter,Repeat,Repetir
Madame,Lady/Madam,Senhora
Suivante,Next,Próximo
Lit,Bed,Cama
Triangle,Triangle,Triângulo
Monsier,Sir,Senhor
Novembre,November,Novembro
Avoir de la chance,Be lucky,Ter sorte
Graisse,Fat,Gordura
Parfois,Sometimes,Às vezes
Souci,Worry,Preocupação
Douche,Bath,Banho/Ducha
Dans,In,No
Attendre,Wait,Esperar
N'est pas encore,Not yet,Ainda não
Avril,April,Abril
Habiter,Live,Morar/Residir
Lorsque,When,Quando
Métier,Work,Trabalho
Jeune,Young,Jovem
Encore,Again/Still,De novo/Ainda
Demain,Tomorrow,Amanhã
Mais,But,Mas
Avec,With,Com
C'est parti,Let's go,Vamos
Sérviette,Towel,Toalha
Passer de bons moments,Have a good time,Se divertir
Planète,Planet,Planeta
Arrêter,Stop,Parar
Rentre,Return,Voltar à
Coucher,Lay down,Deitar
Point,Point,Apontar
Oú,Where,Onde
Balayer,Sweep,Varrer
Février,February,Fevereiro
Pleuvoir,Rain,Chover
Feu,Fire,Fogo
Ici,Here,Aqui
Pivoter,Turn around,Girar
Vacance,Vacation,Férias
Porte,Door,Porta
Plante,Plant,Planta
Plus,More/Plus,Mais
Alors,So,Então
Tâche,Task,Tarefa
Quelque,Some,Algum
Départ,Depart,Partida
Fonction,Function,Função
Aller,Go,Ir
Égal,Equal,Igual
Considérer,Consider,Considerar
Loisir,Leisure,Lazer
Rendez compte,Comprehend,Entender
Très,Many,Muito
Inverser,Revert,Reverter
Chez,At (home),Em (casa)
Souhaiter,Wish,Desejar
Décembre,December,Dezembro
Mardi,Tuesday,Terça-feira
Mère,Mom,Mãe
Poids,Weight,Peso
Envisage,Consider,Considerar
Épreuve,Test,Teste
Mourir,Die,Morrer
Chose,Thing,Coisa
Encore une fois,Another time,Outra vez
Cólere,Anger,Raiva
Rappeler,Recall/Remember,Lembrar
Plaque,Plate,Prato
Mois,Month,Mês
Le récit,History,História
Sans,Without,Sem
Bonheur,Happiness,Felicidade
En ligne,Online,Online
Couloir,Hallway,Corredor
Carré,Squared,Quadrado
Fin,Thin,Fino
Anée,Year,Ano
Eau,Water,Água
Ami,Friend,Amigo
Petite fille,Grandaughther,Neta
Juin,June,Junho
Père,Father,Pai
Je,I,Eu
Il y a,There is,Há
Additioner,Add,Somar
Font,Do,Fazer
Prendre,Tie,Prender
Octobre,October,Outubro
Au,At/In,Em/No
Entendre,Listen/Hear,Escutar/Ouvir
École,School,Escola
Peler,Peel,Descascar
Petit enfant,Grandson,Neto
Lavabo,Sink,Pia
Prochaine,Near,Próximo
Attacher,Attach,Prender
Chaud,Hot,Quente
Valoir,Worth,Valer
Pognon,Money,Grana
Portée,Reach,Alcance
Main,Hand,Mão
Appartenir,Belong,Pertencer
Passer de mode,Get out of fashion,Sair de moda
Collier,Necklace,Colar
Prévoir,Expect,Prever
Voler,Rob,Roubar
Accepter,Accept,Aceitar
Avancer,Advance,Avançar
Commencer,Initiate,Começar
Croire,Believe,Crer
Devenir,Become,Tornar-se
Demander,Ask,Perguntar
Dormir,Sleep,Dormir
Écouter,Listen,Escutar
Empêcher,Prevent,Prevenir
Entre,Enter,Entrar
Espérer,Wait something from someone,Esperar algo de alguém
Essayer,Try,Tentar
Être,Be,Ser
Éviter,Avoid,Evitar
Exister,Exist,Existir
Expliquer,Explain,Explicar
Fermer,Close,Fechar
Garder,Store,Guardar
Laisser,Let,Deixar
Lire,Read,Ler
Mettre,Put,Colocar
Monter,Go up,Subir
Obtenir,Obtain,Obter
Offrir,Offer,Oferecer
Oublier,Forget,Esquecer
Passer,Pass,Passar
Payer,Pay,Pagar
Perdre,Loose,Perder
Permettre,Allow,Permitir
Porter,Hold/Port,Carregar/Portar
Poser,Demote,Rebaixar
Pousser,Push,Empurrar
Présenter,Present,Apresentar
Quitter,Quit,Desistir
Refuser,Refuse,Recusar
Rendre,Give back,Devolver
Revenir,Return,Retornar/Voltar
Suivre,Follow,Seguir
Tenir,Hold,Segurar
Tirer,Pull,Puxar
Toucher,Touch,Tocar
Trouver,Find,Encontrar
Vendre,Sell,Vender
Vivre,Live,Viver
S'occuper,Take care of,Cuidar de
Prope,Own,Própria
On se dépêche,Dispatch,Dispachem-se
Debut,Beggining,Começo
Entretien (d'embauche),(Job interview) / Maintenance,(Entrevista de emprego) / Manutenção
Oui/Ouais,Yes/Yeah,Sim
Enchères,Auction,Leilão
Dépasser,Exceed,Passar de
Raisoir,Razor,Navalha
Deviner,Guess,Advinha
On verra,Let's see,Vamos ver
Thune,Money,Grana
Décoller,Get some,Descolar
Reposer,Rest,Descansar/Repousar
Oseille,Sour,Azedo
Dépenser,Spend,Gastar (dinheiro)
Jeter,Launch,Atirar/Lançar
Lancer,Launch,Lançar
De suite,Following,Em seguida
Peur,Fear,Medo
Chemise,Shirt,Camisa
Ainsi,This,Assim
Mieux,Better,Melhor
Net,Liquid,Líquido
Mauviette,Weak,Fraco
Cheap,Cheap,Barato
Mérite,Merit,Mérito
Voici,Here's it,Aqui está
Rendez-vous,Meeting,Consulta/Encontro
Reglement,Rules,Regulamento
Sûrement,Probably,Provavelmente
Problablement,Probably,Provavelmente
Valise,Luggage,Mala
Perdre,Loose,Perder
Pire,Worse,Pior
Maintenant,Now,Agora
Envers,"""With""",Para com
À l'envers,Head-downwards,Cabeça pra baixo
Moche,Ugly,Feio
Belle,Beautiful,Bela/Bonita
Bête,Beast,Besta
Tête,Head,Cabeça
Gars,Lad,Rapaz
Faire la ménage,Clean up,Fazer a limpeza
Faire la vaisselle,Wash the dishes,Fazer a louça
Faire la lessive,Wash the clothes,Lavar as roupas
Donner un coup de balai,Sweep the floor,Varrer o chão
Colocateire,Roomate,Colega de quarto
Ménagère,House cleaner,Dona de casa
Corriger,Correct,Corrigir
Remarque,Note,Nota
Rendre dingue,Make mad,Enlouquecer
Oignons,Onions,Cebolas
Sortir la poubelle,Sweep the floor,Varrer o chão
Faire du repassage,Iron the clothes,Passar o ferro (roupas)
Un lave vaissale,Wash the dishes,Lavar a louça
Gonflé,Swollen,Inchado
Gâté,Spoiled,Mimado
Piège,Trap,Armadilha
Plupart,Mostly,Maior parte
Conjoint,Set,Conjunto
Bouquin,Book,Livro
Sauver,Save,Salvar
Se souvenir,Remember,Lembrar
Melanger,Mix,Misturar
Mec,Guy,Cara
Racheter,Buy,Comprar
Coursier,Messager,Mensageiro
Bossais,Work,Trabalhar
Affaires,Affairs,Assuntos
Offert,Offered,Oferecido
Pote,Friend/Pal,Amigo/Companheiro
Échapper,Escape,Escapar
Balader,Walk,Passear
Console,Console,Console
Enquête,Inquiry,Inquérito
Rammener,Bring,Trazer
Dérapé,Skid,Derrapar
Peut-être,Can be,Pode ser
Accueil,Reception,Recepção
Élevès,Students,Alunos
Soudain,Suddenly,De repente
Boulot,Job,Trampo
Job,Job,Trampo
S'épanouir,Florish,Florescer
Liens,Links,Laços/Links
Avoir le mal,Miss,Sentir saudade
Se manquer,Miss something,Sentir falta
Agréable,Pleasant,Agradável
Emmener,Take,Levar
Souvenir,Memory,Memória
Déménager,Move out,Mudar de (casa)
Sujet,Subject,Assunto
Pauvre,Poor,Pobre
Échanger,Exchange (ideias),Trocar (idéia)
Bateau,Boat,Barco
Hereux,Being happy,Ser felix
Lorsque,When,Quando
Avancer,Advance,Avançar
Souvent,Frequently/Many times,Frequentemente/Muitas vezes
Aveux,Confession,Confissão
Remise,Delivery,Entrega
Polis,Finishing,Acabamento
Referme,Close,Fechar
Voisins,Neighbor,Vizinho
Emmerdement,Disgrace,Desgraça
Rapport,Report,Relatório
Arrière,Behind,Atrás
Comprend,Comprehend,Compreender
T'inquiète pas,Don't worry,Não se preocupe
Single,Single,Único
Singe,Monkey,Macaco
Plaisantez,Play,Brincar
Empreintes,Fingerprints,Impressões digitais
Selon,According to,Segundo a
Engager,Rent,Alugar
Casier,Register,Cadastro
Pires,Worse,Pior
Canailes,Criminals,Criminosos
Soupçonne,Suspect,Suspeito
Bidons,Cans,Latas
Sauterie,Party,Festa
Braquage,Assault,Assalto
Disparaitre,Disapear,Desaparecer
Stups,Narcotics,Narcóticos
Poudre,Gunpowder,Pólvora
Fournir,Supply,Fornecer
Envie,Envy,Inveja
Conneries,Lies,Mentiras
Manteau,Jacket,Casaco
Enchaîne,Chain,Accorrentar
Casser,Break,Quebrar
Qui remet a,That relates to,Que remete a
Le reste,The rest,O resto
Trou,Hole,Buraco
Presque,Almost,Quase
Rouge,Red,Vermelho
Vert,Green,Verde
Bleu,Blue,Azul
Grise,Gray,Cinza
Clair,Bright,Claro
Foncé,Dark,Escuro
Rosé,Pink,Rosa
Jaune,Yellow,Amarelo
Marron,Brown,Marrom
Orange,Orange,Laranja
Blanc,White,Branco
Noir,Black,Preto
Violet,Violet,Violeta
Beige,Beige,Bege
Maure,Purple,Roxo
Chômage,Unemployment,Desemprego
Fromage,Cheese,Queijo
Les uns et les autres,Eachother,Uns aos outros
Sauf par,Except by,Salvo por
Except par,Except by,Exceto por
Un rabais,Discount,Desconto
S'en ficher,Care for,Se importar
Afficher,Show,Mostrar
C'est chouette,It's nice,É bom
Jaloux,Jealous,Ciumento
Avoir envie de,Envy,Ter inveja
Là-bas,There,Lá
Le printemps,Spring,A primavera
L'éte,Summer,O verão
L'automne,Fall,O outono
L'hiver,Winter,O inverno 
Prêter,Lend,Emprestar
Emprunter,Borrow,Emprestar
Et la pire,And the worse,E o pior
Cadre,Frame,Quadro
Ressembler à,Resemble,Parecer com
Plaire à,Please,Agradar
Ça nous a étonné,That surprised us,Isso nos surpreendeu
Un climat doux,Temperate climate,Clima ameno
De cette taille,This size,Desse tamanho
Avoir failler,Have need,Quase
A propos de la,About,A propósito de
Par rapport à,In relation to,Em relação à
Ammener,Bring,Trazer
Rammener,Bring to,Levar
Feter,Party,Festejar
Avoir lieu,Take place,Ser em/Acontecer
Autant,As much,Tanto
Lier,Connect,Ligar
C'est dommage,It's a shame,É uma vergonha
Paraître,Looks like,Parece
Nager,Swim,Nadar
Avoir l'air,Look like,Parecer
Bouger,Move,Mover
Demeurer,Remain,Permanecer
Passer pour,Pass as,Passar por (alguém)
Oser,Dare,Ousar
Réelle,Real,Real
En prenant em compte,Taking into account,Levando em conta
Soin,Careful,Cuidado
À bientôt,Until next time,Até em breve
Façon,Form/Way,Forma
Ça passe par plein de chose,Happen plenty of things,Passar por muita coisa
Relier,Reconnect,Religar
Haute,High,Alta
Aperçu,Visualization,Visualização
D'améliorer,To better,De melhorar
Entendre,Listen,Escutar
Pari,Bet,Aposta
Cupidité,Greed,Ganância
Regnent,Reign,Reinam
Toutefois,Nonetheless,Todavia
Se débarasser,Get rid of,Se livrar de
Pubelle,Trash,Lixo
Emouvoir,Touch (emotion),Emocionar
Decevoir,Let down,Decepcionar
À trier,Organizing,Em organizar
Légere,Light,Ligeira
Prêt,Ready,Pronto
Ce/Cette/Cet/Ces,This/These,Esse (vogal)/Essa/Esse (consoante)/Esses(as)
Bizarre,Weird,Estranho
La beauté,The beauty,A beleza
Quelque part,Someplace,Em algum lugar
Se passer de,Get on/Miss,Ficar sem
Marquer,Mark,Marcar
Demander,Ask/Demand,Pedir/Perguntar
Celui-ci,This here,Esse aqui
Bien que,Though,Embora
Quoique,Albeit,Conquanto
Même si,Even if,Mesmo se
Quand même,Even though,Mesmo assim
Pourtant,However,No entanto
Malgré,Despite,Apesar de
Cepandant,Even so/Even then,Contudo
En dépit de,In spite of,Em despeito de
Carrément,Literally,Literalmente
S'en ficher,Not care,Dar a mínima/Não ligar
La plus ainé,The older,A mais velha
Planning,Plan,Plano
Oleil,Eye,Olho
En plein air,Open sky,Ao ar livre
Attraper,Pick,Apanhar
Eloigner,Maintain,Manter
Rendre la monnaie,Give the change,Dar o troco
Rendre visite,Visit,Visitar
Tiens!,Attention!,Atenção!
S'y connaître,Be an expert in,Ser um expert em
Allez-y/Vas-y,Go ahead,Vá em frente
S'y mettre,Begin,Começar
S'en aller,Go away,Ir embora
Dont,Such that,Cujo(a)/Do(a) qual
Apporter,Bring (object),Trazer (objeto)
Chien,Dog,Cão
Chat,Cat,Gato
Avoir tué,Kill,Matar
Cheval,Horse,Cavalo
Oiseau,Bird,Pássaro
Boeuf/Vache,Bull/Cow,Boi/Vaca
Cochon/Porc,Pig/Porc,Porco/Leitão
Poisson,Fish,Peixe
Coq/Poule,Cock/Chicken,Galo/Galinha
Mouton,Sheep,Ovelha
Lapin,Rabbit,Coelho
Souris/Rat,Mouse/Rat,Camundongo/Rato
Formi,Ant,Formiga
Cafard,Cockroach,Barata
Climatizeur,Air conditioner,Ar condicionado
Néanmois,Nonetheless,No entanto
Remarquer,Notice,Perceber/Notar
Raprocher,Approach,Aproximar
Menacé,Menaced,Ameaçado
Surchauff,Superheating,Superaquecimento
Agir,Act,Agir
Afin de,With the goal of,Afim de
Bouleversement,Perturbation,Perturbação
Décrypter,Decypher,Decifrar
Enrayer,Lock,Travar
Batir,Build,Construir
Rôle,Role,Papel (metafórico)
La montre,Wristwatch,Relógio de pulso
Entraîner,Train,Treinar
Vers,Towards,Em direção a
Moitié,Half,Metade
Dépendre,Depend,Depender
Approche,Aproach,Abordagem
Partisan,"Party (juridic, not political)","Partido (jurídico, não político)"
Porter,Use,Usar
Raffiné,Fine,Fino/Chique
Manchette,Wrist,Punho
Vieillot,Old-fashioned,Antiquado
Détrompez-vous,Think again,Pense novamente
Zoom,Zoom,Zoom
Décalées,Dislodged,Deslocadas
Focus,Focus,Foco
Avocats,Lawyers,Advogados
Tenue,Maintenance/Clothing,Manutenção/Roupas
Touche,Touch,Toque
Discrète,Discrete,Discreto
Fascine,Fascinates,Fascina
Artisan,Artist,Artista
Extraits,Extracts,Extratos
Classer,Classify,Classificar
Sobres,Sober,Sobrío
(Ci-)Dessous,Bellow,Abaixo
Deposer,Deposit,Depositar
Champs,Fields,Campos
D'habitude,Generally,Geralmente
Méchant,Evil,Malvado
À la fois,As much as/At the same time,Tanto quanto/Ao mesmo tempo
En gros,Basically,À grosso modo/Basicamente
Vachemant,Vastly,Vastamente
D'un coup,Suddenly,"De repente/""De corte"""
L'horlage,Wall-watch,Relógio de parede
Le reveil,Alarm-clock,Despertador
Démonter,Break it up,Desmontar
Séparer,Separate,Separar
Unir,Unite,Unir
Joindre,Join,Juntar
Associer,Associate,Associar
Rabais,Discount,Desconto
